Fecha;Categoria;Subcategoria;Detalles;Cantidad;Importe;Precio Unitario;Lugar de compra;Persona
4/03/2026;Nachi;Pañales;Babysec;68,00;$15.000,00;$220,59;Pañalera Abasto;Ludmi
4/03/2026;Nachi;Algodón;Estrella;500,00;$4.700,00;$9,40;Pañalera Abasto;Ludmi
4/03/2026;Nachi;Otro;Mamadera avent;1,00;$38.000,00;$38.000,00;Pañalera Abasto;Ludmi
4/03/2026;Nachi;Pañales;olla;1,00;$41.330,00;$41.330,00;Pañalera Abasto;Ludmi
4/03/2026;Auto;Nafta;nafta;50,00;$90.000,00;$1.800,00;YPF;Juan
5/03/2026;Supermercado;Comida;Lomitos;1,00;$29.513,00;$29.513,00;La Gallega;Juan
6/03/2026;Supermercado;Comida;Facturas;6,00;$7.200,00;$1.200,00;Breck;Ludmi
5/03/2026;Gastos_fijos;Alquiler;Depto;1,00;$472.157,91;$472.157,91;Macro;Juan y Ludmi
5/03/2026;Gastos_fijos;Gas;Depto;1,00;$3.329,93;$3.329,93;Macro;Juan y Ludmi
6/03/2026;Salidas;Comida;Helado;1,00;$6.800,00;$6.800,00;Gianduia;Ludmi
7/03/2026;Supermercado;Comida;panes y galletitas;1,00;$16.800,00;$16.800,00;Breck;Ludmi
7/03/2026;Auto;Otro;lavado;7,00;$7.500,00;$1.071,43;lavado fichas;Ludmi
7/03/2026;Supermercado;Comida;Carne picada;0,50;$7.322,50;$14.645,00;Carnicería;Juan
10/03/2026;Supermercado;Comida;aceitunas;3,00;$6.000,00;$2.000,00;Breck;Ludmi
9/03/2026;Farmacia;Otro;levo;1,00;$19.530,00;$19.530,00;farmacia;Ludmi
9/03/2026;Delivery;Comida;marvel;1,00;$21.629,00;$21.629,00;;Ludmi
10/03/2026;Supermercado;Comida;Polleria;1,00;$25.240,00;$25.240,00;Polleria;Juan
10/03/2026;Gastos_fijos;Cochera;;1,00;$106.000,00;$106.000,00;Macro;Juan
10/03/2026;Gastos_fijos;Expensas;Expensas;1,00;$70.000,00;$70.000,00;Macro;Juan y Ludmi
10/03/2026;Otros;Otro;palo cortina;1,00;$10.100,00;$10.100,00;ferretería;Ludmi
10/03/2026;Delivery;Comida;helado;1,00;$15.289,00;$15.289,00;Gianduia;Ludmi
10/03/2026;Nachi;peluqueria;;1,00;$18.000,00;$18.000,00;peluqueria;Ludmi
13/03/2026;Supermercado;Comida;jamón y soda;1,00;$5.850,00;$5.850,00;Breck;Juan
13/03/2026;Farmacia;Otro;frevia;1,00;$51.702,69;$51.702,69;farmacia;Juan
13/03/2026;Otros;turno;turno medico;1,00;$15.000,00;$15.000,00;;Juan
13/03/2026;Supermercado;Comida;panaderia;1,00;$6.700,00;$6.700,00;;Juan
13/03/2026;Supermercado;Comida;breck;1,00;$10.500,00;$10.500,00;;Juan
14/03/2026;Supermercado;Comida;facturas;12,00;$9.000,00;$750,00;;Ludmi
15/03/2026;Salidas;Comida;lomitos;1,00;$40.500,00;$40.500,00;;Ludmi
15/03/2026;Delivery;Comida;pollos;1,00;$45.000,00;$45.000,00;;Juan
15/03/2026;Supermercado;Comida;agua;1,00;$4.200,00;$4.200,00;YPF;Juan
15/03/2026;Gastos_fijos;Internet;claro;1,00;$16.720,28;$16.720,28;Macro;Juan y Ludmi
16/03/2026;Supermercado;Comida;almacen comida rica;;$84.850,00;#DIV/0!;almacen darigo;Ludmi
18/03/2026;Otros;cosas de la casa;chino pellegrini;3,00;$19.100,00;$6.366,67;chino;Ludmi
20/03/2026;Supermercado;Comida;salchichas y cosas;;$14.200,00;#DIV/0!;Breck;Ludmi
22/03/2026;Supermercado;Comida;verduleria;;$8.200,00;#DIV/0!;verdu;Ludmi
23/03/2026;Gastos_fijos;Luz;EPE;1,00;$48.275,80;$48.275,80;Macro;Juan
23/03/2026;Gastos_fijos;Gas;Litoral;1,00;$3.268,97;$3.268,97;Macro;Juan
22/03/2026;Farmacia;Otro;Alergin;1,00;$9.100,00;$9.100,00;;Juan
22/03/2026;Supermercado;Comida;Facturas;1,00;$5.700,00;$5.700,00;;Juan
19/03/2026;Supermercado;Comida;Facturas Daperno;1,00;$3.000,00;$3.000,00;;Juan
22/03/2026;Auto;Peaje;peaje alcorta;1,00;$2.800,00;$2.800,00;Macro;Juan
21/03/2026;Auto;Nafta;;1,00;$81.161,06;$81.161,06;YPF;Ludmi
22/03/2026;Supermercado;Comida;panaderia;1,00;$22.400,00;$22.400,00;;Ludmi
23/03/2026;Nachi;Pañales;pañal y algodón;;$14.950,00;#DIV/0!;Pañalera Abasto;Ludmi
24/03/2026;Nachi;Otro;alfombras y baño;;$47.000,00;#DIV/0!;;Ludmi
24/03/2026;Supermercado;Comida;;;$21.089,00;$21.089,00;super centro;Ludmi
25/03/2026;Supermercado;Comida;galletas crema jamón;1,00;$21.000,00;$21.000,00;Breck;Ludmi
27/03/2026;Otros;Otro;mercado libre;;$86.830,34;$86.830,34;mercado libre;Ludmi
28/03/2026;Nachi;Otro;vacuna;;$85.630,00;$85.630,00;sanatorio;Ludmi
27/03/2026;Salidas;Comida;comida juli;;$25.000,00;$25.000,00;;Ludmi
22/03/2026;Supermercado;Comida;comida y pan;1,00;10596;10596;La Gallega;Juan
25/03/2026;Supermercado;Comida;breck;1,00;3200;3200;Breck;Juan
25/03/2026;Supermercado;Comida;milanesas;1,00;23700;23700;pollería;Juan
28/03/2026;Salidas;Comida;casimiro;1,00;22300;22300;;Juan
29/03/2026;Salidas;Comida;casa juli;1,00;46900;46900;Breck;Ludmi
30/03/2026;Supermercado;Comida;verduleria;1,00;8020;8020;verdu;Ludmi
28/03/2026;Supermercado;Comida;picada;1,00;40602;40602;La Gallega;Juan
31/03/2026;Supermercado;Comida;torta y yogurt;1,00;7700;7700;Breck;Juan
31/03/2026;Otros;Otro;impresora;;222199;0;;Ludmi
31/03/2026;Otros;Otro;copias;;13000;0;;Ludmi
31/03/2026;Delivery;Comida;hamburguesas;1,00;27509;27509;;Juan
